date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2017-02-16,1487203200,2.827,2.827,2.827,2.827,0,,,,,,2.827,0.0,0.0,-1,,,,,,,,,False,False,False
2017-02-17,1487289600,2.827,2.827,2.827,2.827,0,,,,,2.827,2.827,0.0,0.0,-1,,,,,,,,,False,False,False
2017-02-20,1487548800,2.827,2.827,2.827,2.827,0,,,,2.827,2.827,2.827,0.0,0.0,-1,,,,,,,,,False,False,False
2017-02-21,1487635200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,,,,,,,,,False,False,False
2017-02-22,1487721600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,,,,,,,,False,False,False
2017-02-23,1487808000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,,,,,,,,False,False,False
2017-02-24,1487894400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,,,,,,,,False,False,False
2017-02-27,1488153600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,,,,,,,,False,False,False
2017-02-28,1488240000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,,,,,,,,False,False,False
2017-03-01,1488326400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,,,,,,,False,False,False
2017-03-02,1488412800,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,,,,,,,False,False,False
2017-03-03,1488499200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,,,,,,,False,False,False
2017-03-06,1488758400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,,,,,,,False,False,False
2017-03-07,1488844800,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,,,,,,,False,False,False
2017-03-08,1488931200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,,,,,,,False,False,False
2017-03-09,1489017600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,,,,,,,False,False,False
2017-03-10,1489104000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,,,,,,,False,False,False
2017-03-13,1489363200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,,,,,,,False,False,False
2017-03-14,1489449600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,,,,,,,False,False,False
2017-03-15,1489536000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-03-16,1489622400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-03-17,1489708800,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-03-20,1489968000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-03-21,1490054400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-03-22,1490140800,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-03-23,1490227200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-03-24,1490313600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-03-27,1490572800,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-03-28,1490659200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-03-29,1490745600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-03-30,1490832000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-03-31,1490918400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-03,1491177600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-04,1491264000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-05,1491350400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-07,1491523200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-10,1491782400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-11,1491868800,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-12,1491955200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-13,1492041600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-14,1492128000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-17,1492387200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-18,1492473600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-19,1492560000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-20,1492646400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-21,1492732800,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-24,1492992000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-25,1493078400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-26,1493164800,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,,,,,,False,False,False
2017-04-27,1493251200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,,,False,False,False
2017-04-28,1493337600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-03,1493769600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-04,1493856000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-05,1493942400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-08,1494201600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-09,1494288000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-10,1494374400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-11,1494460800,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-12,1494547200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-15,1494806400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-16,1494892800,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-17,1494979200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-18,1495065600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-19,1495152000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-22,1495411200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-23,1495497600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-24,1495584000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-25,1495670400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-26,1495756800,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-29,1496016000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-30,1496102400,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-05-31,1496188800,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-06-01,1496275200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-06-02,1496361600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-06-05,1496620800,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-06-06,1496707200,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-06-07,1496793600,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
2017-06-08,1496880000,2.827,2.827,2.827,2.827,0,2.827,0.0,0.0,2.827,2.827,2.827,0.0,0.0,-1,2.83,2.83,2.83,2.83,,,2.83,,False,False,False
