date,timestamp,open,high,low,close,volume
2008-01-10,1199923200,45.76,45.76,39.3,39.3,3500
2008-01-11,1200009600,40.36,40.92,39.24,39.8,14800
2008-01-14,1200268800,42.49,42.49,36.6,36.6,10300
2008-01-15,1200355200,33.86,33.86,33.8,33.8,8500
2008-01-16,1200441600,33.41,36.7,33.41,36.7,4200
2008-01-17,1200528000,38.3,38.3,34.86,38.3,27500
2008-01-18,1200614400,41.4,41.4,41.29,41.4,27600
2008-01-21,1200873600,44.32,45.21,44.32,44.6,48700
2008-01-22,1200960000,40.82,42.1,40.82,42.1,19000
2008-01-23,1201046400,39.89,39.89,37.93,39.5,17300
2008-01-24,1201132800,42.24,42.24,38.3,38.3,2100
2008-01-25,1201219200,38.45,39.58,37.6,37.6,11100
2008-01-28,1201478400,35.15,37.3,35.04,37.3,11100
2008-01-29,1201564800,32.61,39.42,32.61,38.8,14300
2008-01-30,1201651200,38.22,39.4,38.22,39.4,14800
2008-01-31,1201737600,42.04,42.6,36.44,39.8,12300
2008-02-01,1201824000,41.55,41.55,38.18,39.3,19500
2008-02-12,1202774400,37.49,37.6,37.32,37.6,1600
2008-02-13,1202860800,37.43,37.43,34.03,36.3,7000
2008-02-14,1202947200,37.59,37.88,36.8,36.8,5000
2008-02-15,1203033600,36.86,36.91,36.8,36.8,9000
2008-02-18,1203292800,33.72,35.09,33.43,34.8,6500
2008-02-19,1203379200,34.23,35.37,34.23,34.8,5800
2008-02-20,1203465600,35.85,35.85,31.8,31.8,6500
2008-02-21,1203552000,29.89,29.89,29.6,29.6,6000
2008-02-22,1203638400,27.06,32.78,26.89,28.3,45400
2008-02-25,1203897600,29.27,29.5,29.27,29.5,10000
2008-02-26,1203984000,31.31,31.31,26.9,26.9,9300
2008-02-27,1204070400,26.2,28.24,25.78,25.9,12000
2008-02-28,1204156800,24.42,24.42,23.94,24.3,2100
2008-02-29,1204243200,22.55,24.65,22.49,22.8,5900
2008-03-03,1204502400,25.76,25.76,21.1,21.1,12800
2008-03-04,1204588800,20.0,20.0,20.0,20.0,6500
2008-03-05,1204675200,18.4,18.6,18.4,18.6,18700
2008-03-06,1204761600,16.61,19.8,16.61,19.8,2200
2008-03-07,1204848000,21.2,21.2,21.2,21.2,6500
2008-03-10,1205107200,23.24,23.24,20.67,21.3,27500
2008-03-11,1205193600,22.62,22.62,20.4,20.4,5800
2008-03-12,1205280000,21.43,22.69,20.67,20.8,10600
2008-03-13,1205366400,21.54,22.1,20.05,22.1,4300
2008-03-14,1205452800,20.8,20.8,20.8,20.8,1200
2008-03-17,1205712000,20.04,20.04,19.2,19.2,11600
2008-03-18,1205798400,19.78,19.78,17.8,17.8,2400
2008-03-19,1205884800,16.47,19.61,16.47,18.3,3100
2008-03-20,1205971200,17.8,19.78,16.81,17.8,5100
2008-03-21,1206057600,17.24,17.58,16.5,16.5,4000
2008-03-24,1206316800,15.95,15.95,15.4,15.4,4700
2008-03-25,1206403200,14.4,14.4,14.4,14.4,5500
2008-03-26,1206489600,15.02,15.37,13.08,14.3,7500
2008-03-27,1206576000,14.8,14.8,14.8,14.8,100
2008-03-28,1206662400,15.0,15.0,15.0,15.0,100
2008-03-31,1206921600,15.2,15.2,15.2,15.2,400
2008-04-01,1207008000,15.4,15.4,15.4,15.4,100
2008-04-02,1207094400,15.6,15.6,15.6,15.6,100
2008-04-03,1207180800,15.8,15.8,15.8,15.8,100
2008-04-04,1207267200,16.0,16.0,16.0,16.0,100
2008-04-07,1207526400,16.4,16.4,16.4,16.4,3000
2008-04-08,1207612800,16.84,16.84,16.3,16.3,7200
2008-04-09,1207699200,17.15,17.15,16.2,16.2,2300
2008-04-10,1207785600,24.9,24.9,24.9,23.8,0
2008-04-11,1207872000,16.4,16.4,16.4,16.4,200
2008-04-16,1208304000,16.1,16.1,16.1,16.1,100
2008-04-17,1208390400,15.49,16.37,15.49,16.3,12900
2008-04-18,1208476800,15.5,15.5,15.5,15.5,100
2008-04-21,1208736000,15.41,15.41,15.2,15.2,1400
2008-04-22,1208822400,14.9,14.9,14.9,14.9,2800
2008-04-23,1208908800,14.6,14.6,14.6,14.6,1000
2008-04-24,1208995200,14.3,14.3,14.3,14.3,9200
2008-04-25,1209081600,14.0,14.0,14.0,14.0,1000
2008-04-28,1209340800,13.8,13.8,13.8,13.8,3300
2008-04-29,1209427200,14.23,14.23,13.5,13.5,6000
2008-05-05,1209945600,13.5,13.5,13.5,13.5,100
2008-05-06,1210032000,13.3,13.3,13.3,13.3,100
2008-05-07,1210118400,13.0,13.0,13.0,13.0,100
2008-05-08,1210204800,12.8,12.8,12.8,12.8,7100
2008-05-09,1210291200,12.5,12.5,12.5,12.5,2100
2008-05-12,1210550400,12.3,12.3,12.3,12.3,100
2008-05-13,1210636800,12.1,12.1,12.1,12.1,100
2008-05-14,1210723200,11.9,11.9,11.9,11.9,400
2008-05-15,1210809600,11.7,11.7,11.7,11.7,1100
2008-05-16,1210896000,11.5,11.58,11.5,11.5,11000
2008-05-19,1211155200,11.3,11.3,11.3,11.3,2600
2008-05-20,1211241600,11.1,11.1,11.1,11.1,300
2008-05-21,1211328000,10.9,10.9,10.9,10.9,400
2008-05-22,1211414400,10.8,10.8,10.8,10.8,500
2008-05-23,1211500800,12.6,12.6,12.6,12.6,700
2008-05-26,1211760000,10.5,10.5,10.5,10.5,300
2008-05-27,1211846400,10.3,10.3,10.3,10.3,600
2008-05-28,1211932800,10.2,10.2,10.2,10.2,1500
2008-05-29,1212019200,10.01,10.1,10.01,10.1,3200
2008-05-30,1212105600,10.43,10.43,9.9,9.9,6200
2008-06-02,1212364800,9.9,9.9,9.9,9.9,1300
2008-06-03,1212451200,9.7,9.7,9.7,9.7,4300
2008-06-04,1212537600,9.6,9.6,9.6,9.6,4500
2008-06-05,1212624000,9.4,9.4,9.4,9.4,2000
2008-06-06,1212710400,9.21,9.39,9.21,9.3,12600
2008-06-09,1212969600,9.29,9.29,9.2,9.2,4900
2008-06-10,1213056000,9.02,9.3,8.92,9.3,9500
2008-06-11,1213142400,9.3,9.3,9.3,9.3,1500
2008-06-12,1213228800,9.0,9.0,9.0,9.0,3500
2008-06-13,1213315200,9.1,9.1,9.1,9.1,100
2008-06-16,1213574400,9.2,9.2,9.2,9.2,200
2008-06-17,1213660800,9.3,9.3,9.3,9.3,600
2008-06-18,1213747200,9.4,9.4,9.03,9.4,26200
2008-06-19,1213833600,9.68,9.68,8.94,9.4,6000
2008-06-20,1213920000,9.3,9.3,9.3,9.3,1000
2008-06-23,1214179200,9.5,9.5,9.5,9.5,1500
2008-06-24,1214265600,9.7,9.7,9.7,9.7,500
2008-06-25,1214352000,9.9,9.9,9.9,9.9,2100
2008-06-26,1214438400,10.1,10.1,9.49,10.1,9200
2008-06-27,1214524800,10.3,10.3,9.61,10.3,7600
2008-06-30,1214784000,10.4,10.4,10.4,10.4,2700
2008-07-01,1214870400,10.6,10.6,10.6,10.6,100
2008-07-02,1214956800,10.8,10.8,10.8,10.8,21700
2008-07-03,1215043200,11.1,11.1,11.1,11.1,100
2008-07-04,1215129600,11.3,11.3,11.3,11.3,300
2008-07-07,1215388800,11.7,11.7,10.9,11.3,29200
2008-07-08,1215475200,11.54,11.7,10.9,11.7,26100
2008-07-09,1215561600,11.7,11.7,11.7,11.7,700
2008-07-10,1215648000,12.0,12.0,12.0,12.0,100
2008-07-11,1215734400,12.3,12.3,12.3,12.3,1700
2008-07-14,1215993600,12.6,12.6,12.6,12.6,3900
2008-07-15,1216080000,12.9,12.9,12.9,12.9,2500
2008-07-16,1216166400,13.2,13.2,12.31,13.2,40500
2008-07-17,1216252800,13.4,13.4,13.4,13.4,400
2008-07-18,1216339200,13.8,13.8,12.78,13.8,41800
2008-07-21,1216598400,13.3,13.3,13.3,13.3,1100
2008-07-22,1216684800,18.0,18.0,18.0,18.0,0
2008-07-23,1216771200,13.0,13.0,13.0,13.0,700
2008-07-24,1216857600,12.7,13.46,12.7,12.7,15400
2008-07-25,1216944000,12.4,12.4,12.4,12.4,11700
2008-07-28,1217203200,11.79,12.7,11.79,12.7,24000
2008-07-29,1217289600,12.5,12.5,12.04,12.5,15100
2008-07-30,1217376000,12.83,12.83,11.92,12.6,6500
2008-07-31,1217462400,12.76,12.76,12.3,12.3,6400
2008-08-01,1217548800,16.1,16.1,16.1,16.1,0
2008-08-04,1217808000,12.1,12.1,12.1,12.1,1300
2008-08-05,1217894400,11.8,11.8,11.8,11.8,500
2008-08-06,1217980800,11.5,11.98,11.5,11.5,31700
2008-08-07,1218067200,12.03,12.03,11.3,11.3,14200
2008-08-08,1218153600,11.7,11.7,11.07,11.7,2800
2008-08-11,1218412800,12.0,12.0,12.0,12.0,2100
2008-08-12,1218499200,12.3,12.3,12.3,12.3,31800
2008-08-13,1218585600,12.6,12.6,11.68,12.6,11100
2008-08-14,1218672000,12.8,12.8,12.8,12.8,4400
2008-08-15,1218758400,13.1,13.1,13.1,13.1,500
2008-08-18,1219017600,13.7,13.7,13.7,13.7,4700
2008-08-19,1219104000,14.99,14.99,13.05,13.2,14500
2008-08-20,1219190400,13.13,13.8,12.9,12.9,20100
2008-08-21,1219276800,12.37,13.99,12.37,13.4,43700
2008-08-22,1219363200,13.37,13.37,12.49,13.3,18000
2008-08-25,1219622400,13.5,13.5,13.5,13.5,7500
2008-08-26,1219708800,14.1,14.1,14.03,14.1,22900
2008-08-27,1219795200,14.8,14.8,14.8,14.8,42900
2008-08-28,1219881600,15.55,16.12,14.1,14.1,42200
2008-08-29,1219968000,13.2,15.1,13.13,15.1,31800
2008-09-03,1220400000,14.8,14.8,14.8,14.8,6000
2008-09-04,1220486400,15.5,15.5,15.5,15.5,15900
