date,timestamp,open,high,low,close,volume
2017-01-03,1483401600,15.319,15.319,12.968,13.86,584600
2017-01-04,1483488000,14.588,14.588,12.968,13.049,97300
2017-01-05,1483574400,13.049,13.049,11.509,11.914,121100
2017-01-06,1483660800,10.211,12.076,10.211,11.509,123200
2017-01-09,1483920000,11.509,11.509,10.699,11.104,39300
2017-01-10,1484006400,11.104,11.185,10.861,11.104,19300
2017-01-11,1484092800,11.185,11.185,10.942,10.942,41050
2017-01-12,1484179200,11.024,11.024,10.617,10.699,31920
2017-01-13,1484265600,10.535,10.535,10.132,10.292,53550
2017-01-16,1484524800,10.535,10.535,9.725,9.725,78850
2017-01-17,1484611200,9.969,9.969,9.484,9.564,37000
2017-01-18,1484697600,9.725,9.725,9.564,9.564,10100
2017-01-19,1484784000,9.645,9.645,9.401,9.484,16720
2017-01-20,1484870400,9.484,9.969,9.484,9.808,12500
2017-01-23,1485129600,9.725,9.808,9.645,9.808,9500
2017-01-24,1485216000,9.645,9.725,9.564,9.725,5520
2017-01-25,1485302400,9.645,10.132,9.564,10.132,6400
2017-02-02,1485993600,8.916,10.374,8.916,9.564,2600
2017-02-03,1486080000,9.725,9.725,9.564,9.725,9160
2017-02-06,1486339200,9.725,9.888,9.645,9.725,30365
2017-02-07,1486425600,9.725,10.05,9.725,9.725,9000
2017-02-08,1486512000,9.645,9.645,9.564,9.564,12300
2017-02-09,1486598400,9.645,9.969,9.645,9.645,12400
2017-02-10,1486684800,9.808,9.808,9.725,9.725,20100
2017-02-13,1486944000,9.645,9.808,9.564,9.564,30050
2017-02-14,1487030400,9.645,9.725,9.564,9.645,12300
2017-02-15,1487116800,9.725,9.808,9.564,9.564,112300
2017-02-16,1487203200,9.645,9.725,9.564,9.645,160800
2017-02-17,1487289600,9.645,9.645,9.645,9.645,122200
2017-02-20,1487548800,9.645,10.292,9.645,10.132,84100
2017-02-21,1487635200,10.132,10.374,10.132,10.292,67600
2017-02-22,1487721600,10.211,10.211,10.05,10.05,18800
2017-02-23,1487808000,9.969,10.05,9.725,9.888,49310
2017-02-24,1487894400,9.725,9.969,9.321,9.321,84500
2017-02-27,1488153600,9.564,9.645,9.321,9.401,82700
2017-02-28,1488240000,9.484,9.725,9.484,9.564,14600
2017-03-01,1488326400,9.564,9.564,9.484,9.564,27410
2017-03-02,1488412800,9.645,9.645,9.564,9.564,20380
2017-03-03,1488499200,9.564,9.725,9.564,9.725,25700
2017-03-06,1488758400,9.725,9.725,9.645,9.725,7810
2017-03-07,1488844800,9.725,9.808,9.645,9.725,11770
2017-03-08,1488931200,9.725,9.725,9.645,9.645,97300
2017-03-09,1489017600,9.645,9.725,9.645,9.645,46700
2017-03-10,1489104000,9.645,9.725,9.645,9.725,24210
2017-03-13,1489363200,9.645,9.808,9.645,9.645,29800
2017-03-14,1489449600,9.645,9.725,9.645,9.645,56700
2017-03-15,1489536000,9.645,9.888,9.645,9.888,27210
2017-03-16,1489622400,9.969,11.266,9.888,11.266,333480
2017-03-17,1489708800,11.104,11.995,11.024,11.509,360600
2017-03-20,1489968000,11.59,11.751,11.266,11.509,91100
2017-03-21,1490054400,11.347,11.347,10.535,10.535,100151
2017-03-22,1490140800,10.535,10.78,9.969,9.969,76925
2017-03-23,1490227200,10.535,10.535,9.888,10.374,50906
2017-03-24,1490313600,10.211,10.211,9.888,10.132,117801
2017-03-27,1490572800,10.132,10.132,9.725,10.05,141900
2017-03-28,1490659200,9.888,10.455,9.888,10.455,22130
2017-03-29,1490745600,10.211,10.455,10.05,10.374,57400
2017-03-30,1490832000,10.211,10.292,10.05,10.05,23920
2017-03-31,1490918400,9.969,10.132,9.808,9.969,64930
2017-04-03,1491177600,9.808,10.132,9.808,10.05,22400
2017-04-04,1491264000,9.969,10.374,9.969,10.211,23300
2017-04-05,1491350400,10.132,10.211,9.725,9.969,85000
2017-04-07,1491523200,9.725,10.05,9.725,9.725,22010
2017-04-10,1491782400,9.725,9.969,9.725,9.888,30906
2017-04-11,1491868800,9.725,9.888,9.645,9.808,15100
2017-04-12,1491955200,9.808,10.05,9.725,9.969,20400
2017-04-13,1492041600,9.969,9.969,9.725,9.725,42600
2017-04-14,1492128000,9.645,9.888,9.564,9.808,54300
2017-04-17,1492387200,9.645,9.888,9.645,9.645,21300
2017-04-18,1492473600,9.645,9.725,9.645,9.725,35500
2017-04-19,1492560000,9.645,9.725,9.645,9.645,13600
2017-04-20,1492646400,9.725,9.725,9.725,9.725,12200
2017-04-21,1492732800,9.725,9.725,9.725,9.725,17100
2017-04-24,1492992000,9.725,9.725,9.645,9.645,1520
2017-04-25,1493078400,9.808,9.808,9.645,9.645,13800
2017-04-26,1493164800,9.725,9.888,9.725,9.808,17300
2017-04-27,1493251200,9.725,9.808,9.725,9.725,14400
2017-04-28,1493337600,9.725,9.725,9.725,9.725,26103
2017-05-03,1493769600,9.725,9.969,9.725,9.969,7910
2017-05-04,1493856000,9.808,9.969,9.808,9.808,8600
2017-05-05,1493942400,9.808,9.808,9.725,9.725,27300
2017-05-08,1494201600,9.808,9.808,9.725,9.725,22500
2017-05-09,1494288000,9.725,9.808,9.645,9.645,53600
2017-05-10,1494374400,9.725,9.808,9.645,9.808,30800
2017-05-11,1494460800,9.725,9.808,9.725,9.808,16500
2017-05-12,1494547200,9.888,11.024,9.725,10.535,188620
2017-05-15,1494806400,10.535,10.78,10.132,10.132,10435
2017-05-16,1494892800,10.374,10.374,9.969,9.969,20111
2017-05-17,1494979200,10.05,10.05,9.725,9.888,64040
2017-05-18,1495065600,9.969,10.05,9.725,9.725,15260
2017-05-19,1495152000,9.969,9.969,9.645,9.645,20840
2017-05-22,1495411200,9.969,9.969,9.645,9.888,24100
2017-05-23,1495497600,9.969,9.969,9.645,9.808,6201
2017-05-24,1495584000,9.808,9.808,9.645,9.725,2000
2017-05-25,1495670400,9.725,9.808,9.645,9.808,14620
2017-05-26,1495756800,9.808,9.888,9.725,9.808,112300
2017-05-29,1496016000,9.808,9.808,9.725,9.725,51200
2017-05-30,1496102400,9.808,9.808,9.564,9.645,12600
2017-05-31,1496188800,9.645,9.645,9.484,9.484,19100
2017-06-01,1496275200,9.564,9.725,9.564,9.725,43100
2017-06-02,1496361600,9.564,9.645,9.564,9.645,6610
2017-06-05,1496620800,9.564,9.645,9.564,9.645,83907
2017-06-06,1496707200,9.564,9.725,9.564,9.645,49959
2017-06-07,1496793600,9.645,9.725,9.564,9.645,21610
2017-06-08,1496880000,9.645,9.725,9.564,9.725,23700
2017-06-09,1496966400,9.645,9.645,9.564,9.564,2700
2017-06-12,1497225600,9.564,9.564,9.564,9.564,11600
2017-06-13,1497312000,9.484,9.645,9.484,9.564,15000
2017-06-14,1497398400,9.484,9.564,9.321,9.401,43300
2017-06-15,1497484800,9.401,9.564,9.24,9.321,107110
2017-06-16,1497571200,9.484,9.484,9.24,9.484,21600
2017-06-19,1497830400,9.401,9.401,9.321,9.321,6601
2017-06-20,1497916800,9.321,9.321,9.24,9.24,17819
2017-06-21,1498003200,9.24,9.321,9.24,9.24,64800
2017-06-22,1498089600,9.24,9.321,9.158,9.24,28740
2017-06-23,1498176000,9.158,9.24,9.077,9.077,54200
2017-06-26,1498435200,9.077,9.158,9.077,9.158,7000
2017-06-27,1498521600,9.077,9.158,8.834,8.916,106000
2017-06-28,1498608000,8.916,8.997,8.916,8.997,27200
2017-06-29,1498694400,8.916,8.997,8.916,8.997,65508
2017-06-30,1498780800,8.916,9.24,8.916,9.24,87700
2017-07-03,1499040000,8.997,9.24,8.997,9.077,6500
2017-07-04,1499126400,9.24,9.24,9.158,9.158,900
2017-07-05,1499212800,8.916,9.077,8.916,8.916,69600
