country,requirement
Sri Lanka,eTA/30 days
Australia,eVisa
Bahrain,eVisa
Benin,eVisa
Bhutan,eVisa
Botswana,eVisa
Burkina Faso,eVisa
Djibouti,eVisa
Egypt,eVisa
Jordan,eVisa
Mongolia,eVisa
Pakistan,eVisa
Sao Tome and Principe,eVisa
Singapore,eVisa
South Sudan,eVisa
Uganda,eVisa
Lesotho,eVisa/14 days
India,eVisa/30 days
Iran,eVisa/30 days
Viet Nam,eVisa/30 days
Congo (Dem. Rep.),eVisa/90 days
Ethiopia,eVisa/90 days
Gabon,eVisa/90 days
Guinea,eVisa/90 days
Kenya,eVisa/90 days
Qatar,free visa on arrival/30 days
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 days
Angola,pre-visa on arrival
Guyana,pre-visa on arrival
Nigeria,pre-visa on arrival
Cuba,tourist card/30 days
Seychelles,tourist registration/90 days
Mauritania,visa on arrival
Cape Verde,visa on arrival (EASE)
Tanzania,visa on arrival / eVisa
Cambodia,visa on arrival / eVisa/30 days
Laos,visa on arrival / eVisa/30 days
Malawi,visa on arrival / eVisa/30 days
Mozambique,visa on arrival / eVisa/30 days
Oman,visa on arrival / eVisa/30 days
Rwanda,visa on arrival / eVisa/30 days
Bolivia,visa on arrival / eVisa/90 days
Madagascar,visa on arrival / eVisa/90 days
Zambia,visa on arrival / eVisa/90 days
Togo,visa on arrival/15 days
Nepal,visa on arrival/150 days
Bangladesh,visa on arrival/30 days
Burundi,visa on arrival/30 days
Jamaica,visa on arrival/30 days
Lebanon,visa on arrival/30 days
Maldives,visa on arrival/30 days
Nicaragua,visa on arrival/30 days
Palau,visa on arrival/30 days
Sierra Leone,visa on arrival/30 days
Somalia,visa on arrival/30 days
Timor-Leste,visa on arrival/30 days
Tuvalu,visa on arrival/30 days
Comoros,visa on arrival/45 days
Mauritius,visa on arrival/60 days
Samoa,visa on arrival/90 days
Zimbabwe,visa on arrival/90 days
Afghanistan,visa required
Algeria,visa required
Argentina,visa required
Belize,visa required
Brunei,visa required
Cameroon,visa required
Canada,visa required
Central African Republic,visa required
Chad,visa required
China,visa required
Congo,visa required
Costa Rica,visa required
Dominican Republic,visa required
El Salvador,visa required
Equatorial Guinea,visa required
Eritrea,visa required
Eswatini,visa required
Ghana,visa required
Grenada,visa required
Guatemala,visa required
Guinea-Bissau,visa required
Honduras,visa required
Hong Kong,visa required
Indonesia,visa required
Iraq,visa required
Ireland,visa required
Japan,visa required
Kiribati,visa required
Kosovo,visa required
Kuwait,visa required
Liberia,visa required
Libya,visa required
Mali,visa required
Marshall Islands,visa required
Mexico,visa required
Morocco,visa required
Myanmar [Burma],visa required
Nauru,visa required
New Zealand,visa required
Niger,visa required
North Korea,visa required
Papua New Guinea,visa required
Paraguay,visa required
Philippines,visa required
Saint Lucia,visa required
Saudi Arabia,visa required
Senegal,visa required
Solomon Islands,visa required
South Africa,visa required
South Korea,visa required
Sudan,visa required
Syria,visa required
Taiwan,visa required
Thailand,visa required
Tonga,visa required
Trinidad and Tobago,visa required
Turkmenistan,visa required
United Arab Emirates,visa required
United Kingdom,visa required
United States of America,visa required
Uruguay,visa required
Vanuatu,visa required
Venezuela,visa required
Yemen,visa required
Armenia,visa-free
Belarus,visa-free
Kyrgyzstan,visa-free
Palestinian Territories,visa-free
San Marino,visa-free
Tajikistan,visa-free
Ukraine,visa-free
Uzbekistan,visa-free
Fiji,visa-free/120 days
Antigua and Barbuda,visa-free/180 days
Peru,visa-free/180 days
Dominica,visa-free/21 days
Barbados,visa-free/28 days
Malaysia,visa-free/30 days
Micronesia,visa-free/30 days
Georgia,visa-free/360 days
Albania,visa-free/90 days
Andorra,visa-free/90 days
Austria,visa-free/90 days
Azerbaijan,visa-free/90 days
Bahamas,visa-free/90 days
Belgium,visa-free/90 days
Bosnia and Herzegovina,visa-free/90 days
Brazil,visa-free/90 days
Bulgaria,visa-free/90 days
Chile,visa-free/90 days
Colombia,visa-free/90 days
Croatia,visa-free/90 days
Cyprus,visa-free/90 days
Czech Republic,visa-free/90 days
Denmark,visa-free/90 days
Ecuador,visa-free/90 days
Estonia,visa-free/90 days
Finland,visa-free/90 days
France,visa-free/90 days
Gambia,visa-free/90 days
Germany,visa-free/90 days
Greece,visa-free/90 days
Haiti,visa-free/90 days
Hungary,visa-free/90 days
Iceland,visa-free/90 days
Israel,visa-free/90 days
Italy,visa-free/90 days
Kazakhstan,visa-free/90 days
Latvia,visa-free/90 days
Liechtenstein,visa-free/90 days
Lithuania,visa-free/90 days
Luxembourg,visa-free/90 days
Macao,visa-free/90 days
Malta,visa-free/90 days
Monaco,visa-free/90 days
Montenegro,visa-free/90 days
Namibia,visa-free/90 days
Netherlands,visa-free/90 days
North Macedonia,visa-free/90 days
Norway,visa-free/90 days
Panama,visa-free/90 days
Poland,visa-free/90 days
Portugal,visa-free/90 days
Romania,visa-free/90 days
Russian Federation,visa-free/90 days
Saint Kitts and Nevis,visa-free/90 days
Serbia,visa-free/90 days
Slovakia,visa-free/90 days
Slovenia,visa-free/90 days
Spain,visa-free/90 days
St. Vincent and the Grenadines,visa-free/90 days
Suriname,visa-free/90 days
Sweden,visa-free/90 days
Switzerland,visa-free/90 days
Tunisia,visa-free/90 days
Türkiye,visa-free/90 days
Vatican City,visa-free/90 days
