country,requirement
Afghanistan,visa required
Albania,visa-free/90 days
Algeria,visa required
Andorra,visa-free/90 days
Angola,visa-free/30 days
Antigua and Barbuda,visa-free/180 days
Argentina,visa-free/90 days
Armenia,visa-free/180 days
Australia,eTA/90 daysApply now
Austria,visa-free/90 days
Azerbaijan,visa on arrival / eVisa/30 daysApply now
Bahamas,visa-free/90 days
Bahrain,visa on arrival / eVisa/30 daysApply now
Bangladesh,visa on arrival/30 days
Barbados,visa-free/180 days
Belarus,visa-free/30 days
Belgium,visa-free/90 days
Belize,visa-free
Benin,eVisaApply now
Bhutan,eVisaApply now
Bolivia,visa on arrival / eVisa/90 daysApply now
Bosnia and Herzegovina,visa-free/90 days
Botswana,visa-free/90 days
Brazil,visa-free/30 days
Brunei,visa-free/30 days
Bulgaria,visa-free/90 days
Burkina Faso,visa-free/30 days
Burundi,visa on arrival/30 days
Cambodia,visa-free/30 days
Cameroon,eVisaApply now
Canada,eTA/180 daysApply now
Cape Verde,visa-free (EASE)/30 daysApply now
Central African Republic,visa required
Chad,visa required
Chile,visa-free/30 days
China,visa-free/15 days
Colombia,visa-free/90 days
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 daysApply now
Costa Rica,visa-free/180 days
Cote d'Ivoire (Ivory Coast),visa-free/90 days
Croatia,visa-free/90 days
Cuba,visa-free/30 days
Cyprus,visa-free/90 days
Czech Republic,visa-free/90 days
Denmark,visa-free/90 days
Djibouti,visa-free
Dominica,visa-free/180 days
Dominican Republic,visa-free
Ecuador,visa-free/90 days
Egypt,visa on arrival / eVisa/30 daysApply now
El Salvador,visa-free/90 days
Equatorial Guinea,eVisaApply now
Eritrea,visa required
Estonia,visa-free/90 days
Eswatini,visa-free/30 days
Ethiopia,visa on arrival / eVisa/90 daysApply now
Fiji,visa-free/120 days
Finland,visa-free/90 days
France,visa-free/90 days
Gabon,eVisa/90 daysApply now
Gambia,visa-free/90 days
Georgia,visa-free/360 days
Germany,visa-free/90 days
Ghana,visa-free/60 days
Greece,visa-free/90 days
Grenada,visa-free/90 days
Guatemala,visa-free/90 days
Guinea,visa-free/30 days
Guinea-Bissau,visa on arrival/90 days
Guyana,visa-free/30 days
Haiti,visa-free/90 days
Honduras,visa-free/90 days
Hong Kong,visa-free/90 days
Hungary,visa-free/90 days
Iceland,visa-free/90 days
India,eVisa/30 daysApply now
Indonesia,visa-free/30 days
Iran,eVisa/30 daysApply now
Iraq,visa required
Ireland,visa-free/90 days
Israel,visa-free/90 days
Italy,visa-free/90 days
Jamaica,visa-free
Japan,visa-free/90 days
Jordan,visa on arrival / eVisaApply now
Kazakhstan,visa-free/30 days
Kenya,visa-free/90 days
Kiribati,visa-free/90 days
Kosovo,visa-free/90 days
Kuwait,visa on arrival / eVisa/90 daysApply now
Kyrgyzstan,visa-free/60 days
Laos,visa-free/30 days
Latvia,visa-free/90 days
Lebanon,visa on arrival/30 days
Lesotho,visa-free/90 days
Liberia,visa required
Libya,visa required
Liechtenstein,visa-free/90 days
Lithuania,visa-free
Luxembourg,visa-free/90 days
Macao,visa-free/30 days
Madagascar,visa on arrival/90 days
Malawi,visa on arrival / eVisa/30 daysApply now
Malaysia,visa-free/30 days
Maldives,visa on arrival/30 days
Mali,visa required
Malta,visa-free/90 days
Marshall Islands,visa on arrival/90 days
Mauritania,visa on arrival
Mauritius,visa-free/90 days
Mexico,visa-free/180 days
Micronesia,visa-free/30 days
Moldova,visa-free/90 days
Monaco,visa-free/90 days
Mongolia,visa-free/30 days
Montenegro,visa-free/90 days
Morocco,visa-free/30 days
Mozambique,visa-free/30 days
Myanmar,visa-free/30 days
Namibia,visa-free/90 days
Nauru,visa required
Nepal,visa on arrival / eVisa/150 daysApply now
Netherlands,visa-free/90 days
New Zealand,eTA/90 daysApply now
Nicaragua,visa-free/90 days
Niger,visa required
Nigeria,eVisaApply now
North Korea,visa required
North Macedonia,visa-free/90 days
Norway,visa-free/90 days
Oman,visa on arrival / eVisa/30 daysApply now
Pakistan,eTA/30 daysApply now
Palau,visa on arrival/30 days
Palestinian Territories,visa-free
Panama,visa-free/90 days
Papua New Guinea,eVisa/60 daysApply now
Paraguay,visa-free/30 days
Peru,visa-free/180 days
Philippines,visa-free/30 days
Poland,visa-free/90 days
Portugal,visa-free/90 days
Qatar,free visa on arrival/30 days
Romania,visa-free/90 days
Russian Federation,eVisa/15 daysApply now
Rwanda,free visa on arrival/90 days
Saint Kitts and Nevis,visa-free/90 days
Saint Lucia,visa-free/15 days
Samoa,visa on arrival/90 days
San Marino,visa-free/90 days
Sao Tome and Principe,eVisaApply now
Saudi Arabia,visa on arrival / eVisa/90 daysApply now
Senegal,visa-free/90 days
Serbia,visa-free/90 days
Seychelles,tourist registration/90 daysApply now
Sierra Leone,visa on arrival / eVisa/30 daysApply now
Slovakia,visa-free/90 days
Slovenia,visa-free/90 days
Solomon Islands,visa on arrival/90 days
Somalia,visa on arrival/30 days
South Africa,visa-free/90 days
South Korea,visa-free/90 days
South Sudan,eVisaApply now
Spain,visa-free/90 days
Sri Lanka,eTA/30 daysApply now
St. Vincent and the Grenadines,visa-free/90 days
Sudan,visa required
Suriname,tourist card/90 daysApply now
Sweden,visa-free/90 days
Switzerland,visa-free/90 days
Syria,visa required
Taiwan,visa-free/30 days
Tajikistan,visa-free/30 days
Tanzania,visa-free/90 days
Thailand,visa-free/30 days
Timor-Leste,visa on arrival/30 days
Togo,visa on arrival / eVisa/15 daysApply now
Tonga,visa on arrival/31 days
Trinidad and Tobago,visa-free
Tunisia,visa-free/90 days
Turkmenistan,visa required
Tuvalu,visa on arrival/30 days
Türkiye,visa-free/90 days
Uganda,visa-free/90 days
Ukraine,visa required
United Arab Emirates,visa-free/30 days
United Kingdom,visa-free/180 days
United States of America,eTA/90 daysApply now
Uruguay,visa-free/90 days
Uzbekistan,visa-free/30 days
Vanuatu,visa-free/30 days
Vatican City,visa-free/90 days
Venezuela,visa required
Viet Nam,visa-free/30 days
Yemen,visa required
Zambia,visa-free/90 days
Zimbabwe,visa-free/90 days
