date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2015-11-17,1447718400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-11-18,1447804800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-11-19,1447891200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-11-20,1447977600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-11-23,1448236800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-11-24,1448323200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-11-25,1448409600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-11-26,1448496000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-11-27,1448582400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-11-30,1448841600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-01,1448928000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-02,1449014400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-03,1449100800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-04,1449187200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-07,1449446400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-08,1449532800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-09,1449619200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-10,1449705600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-11,1449792000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-14,1450051200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-15,1450137600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-16,1450224000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-17,1450310400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-18,1450396800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-21,1450656000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,,,,,,False,False,False
2015-12-22,1450742400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,,,False,False,False
2015-12-23,1450828800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2015-12-24,1450915200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2015-12-25,1451001600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2015-12-28,1451260800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2015-12-29,1451347200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2015-12-30,1451433600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2015-12-31,1451520000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-04,1451865600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-05,1451952000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-06,1452038400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-07,1452124800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-08,1452211200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-11,1452470400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-12,1452556800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-13,1452643200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-14,1452729600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-15,1452816000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-18,1453075200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-19,1453161600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-20,1453248000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-21,1453334400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-22,1453420800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-25,1453680000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-26,1453766400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-27,1453852800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-28,1453939200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-01-29,1454025600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-01,1454284800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-02,1454371200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-03,1454457600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-04,1454544000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-05,1454630400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-15,1455494400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-16,1455580800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-17,1455667200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-18,1455753600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-19,1455840000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-22,1456099200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-23,1456185600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-24,1456272000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-25,1456358400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-26,1456444800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-02-29,1456704000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-03-01,1456790400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-03-02,1456876800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-03-03,1456963200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-03-04,1457049600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-03-07,1457308800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-03-08,1457395200,8.488,8.488,8.488,8.488,100,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,,,8.49,,False,False,False
2016-03-09,1457481600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-10,1457568000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-11,1457654400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-14,1457913600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-15,1458000000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-16,1458086400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-17,1458172800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-18,1458259200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-21,1458518400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-22,1458604800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-23,1458691200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-24,1458777600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-25,1458864000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-28,1459123200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-29,1459209600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-30,1459296000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-03-31,1459382400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-01,1459468800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-04,1459728000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-05,1459814400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-06,1459900800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-07,1459987200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-08,1460073600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-11,1460332800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-12,1460419200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-13,1460505600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-14,1460592000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-15,1460678400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-19,1461024000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-20,1461110400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-21,1461196800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-22,1461283200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-25,1461542400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-26,1461628800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-27,1461715200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-28,1461801600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-04-29,1461888000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-05-04,1462320000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-05-05,1462406400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-05-06,1462492800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-05-09,1462752000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-05-10,1462838400,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-05-11,1462924800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-05-12,1463011200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-05-13,1463097600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-05-16,1463356800,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-05-17,1463443200,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-05-18,1463529600,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
2016-05-19,1463616000,8.488,8.488,8.488,8.488,0,8.488,0.0,0.0,8.488,8.488,8.488,0.0,0.0,-1,8.49,8.49,8.49,8.49,8.49,,8.49,,False,False,False
