date,timestamp,open,high,low,close,volume
2009-11-05,1257379200,27.154,27.154,27.154,27.154,46500
2009-11-06,1257465600,28.474,28.474,27.657,28.474,1420500
2009-11-09,1257724800,27.657,28.411,27.091,27.091,379190
2009-11-10,1257811200,25.77,25.834,25.77,25.77,241150
2009-11-11,1257897600,24.954,25.77,24.513,25.142,416210
2009-11-12,1257984000,24.137,24.954,23.885,23.885,282170
2009-11-13,1258070400,22.691,24.513,22.691,24.513,664120
2009-11-16,1258329600,24.513,25.583,24.199,25.583,231890
2009-11-17,1258416000,26.274,26.274,24.954,25.77,249410
2009-11-18,1258502400,25.77,25.77,24.513,25.268,432410
2009-11-19,1258588800,25.142,25.268,24.011,25.142,520320
2009-11-20,1258675200,25.142,25.142,24.011,24.326,279530
2009-11-23,1258934400,24.326,24.513,23.445,24.199,327300
2009-11-24,1259020800,24.199,24.199,23.193,23.697,215780
2009-11-25,1259107200,23.697,23.697,22.565,22.565,337700
2009-11-26,1259193600,21.56,21.56,21.497,21.497,63290
2009-11-27,1259280000,20.428,22.565,20.428,21.497,196960
2009-11-30,1259539200,21.497,22.0,20.428,21.936,237250
2009-12-01,1259625600,21.936,22.565,21.371,22.251,118540
2009-12-02,1259712000,21.371,22.503,21.308,21.371,147850
2009-12-03,1259798400,20.616,21.371,20.492,20.492,47530
2009-12-04,1259884800,21.497,21.497,21.371,21.497,264960
2009-12-07,1260144000,22.439,22.439,21.057,22.439,113690
2009-12-08,1260230400,22.0,23.193,21.497,22.0,60640
2009-12-09,1260316800,21.246,22.0,20.93,21.936,142880
2009-12-10,1260403200,21.936,21.936,20.868,21.874,145670
2009-12-11,1260489600,20.994,21.371,20.806,20.806,164380
2009-12-14,1260748800,20.806,21.811,20.806,21.811,121610
2009-12-15,1260835200,22.0,22.817,21.685,22.817,256900
2009-12-16,1260921600,22.817,22.817,21.685,22.817,411340
2009-12-17,1261008000,22.942,22.942,21.874,22.439,276570
2009-12-18,1261094400,22.879,22.942,22.125,22.942,176870
2009-12-21,1261353600,23.131,23.571,22.125,22.628,58460
2009-12-22,1261440000,22.942,22.942,22.063,22.063,50840
2009-12-23,1261526400,21.749,22.063,21.56,21.56,16400
2009-12-24,1261612800,21.12,22.0,21.12,21.371,25490
2009-12-25,1261699200,21.936,22.125,21.371,22.125,46850
2009-12-28,1261958400,21.057,22.503,21.057,22.314,125740
2009-12-29,1262044800,22.628,22.628,21.936,21.936,19840
2009-12-30,1262131200,21.936,22.251,21.874,21.936,30580
2009-12-31,1262217600,22.0,22.314,21.434,21.497,37010
2010-01-04,1262563200,22.0,22.565,22.0,22.565,182850
2010-01-05,1262649600,23.634,23.634,23.507,23.634,310230
2010-01-06,1262736000,22.942,24.513,22.942,24.513,181180
2010-01-07,1262822400,24.513,24.513,23.885,23.885,52800
2010-01-08,1262908800,23.571,24.137,23.005,23.005,104480
2010-01-11,1263168000,22.314,22.942,22.0,22.188,65870
2010-01-12,1263254400,22.188,22.188,21.12,21.12,50580
2010-01-13,1263340800,20.93,22.0,20.93,21.371,77110
2010-01-14,1263427200,21.371,22.314,21.371,21.936,96900
2010-01-15,1263513600,22.251,22.251,21.936,22.0,70080
2010-01-18,1263772800,22.0,22.063,21.371,21.936,137520
2010-01-19,1263859200,21.936,22.0,21.936,22.0,44690
2010-01-20,1263945600,21.936,22.188,21.874,22.0,167340
2010-01-21,1264032000,21.936,22.063,21.874,22.0,180850
2010-01-22,1264118400,22.0,22.063,21.936,22.063,76030
2010-01-25,1264377600,22.0,22.063,21.936,22.0,33860
2010-01-26,1264464000,21.811,22.314,21.811,22.063,13200
2010-01-27,1264550400,22.0,22.063,21.936,22.0,37310
2010-01-28,1264636800,22.879,23.068,22.565,23.068,155980
2010-01-29,1264723200,23.822,23.822,22.628,23.131,48200
2010-02-01,1264982400,23.131,23.256,22.942,23.193,58010
2010-02-02,1265068800,22.314,23.32,22.314,23.131,11500
2010-02-03,1265155200,23.256,23.256,22.942,23.193,32010
2010-02-04,1265241600,22.628,23.383,22.628,23.193,33270
2010-02-05,1265328000,22.063,23.256,22.063,23.068,57580
