date,timestamp,open,high,low,close,volume
2018-06-04,1528070400,34.133,35.0,34.133,34.133,2811840
2018-06-05,1528156800,33.033,35.333,32.0,32.0,1357500
2018-06-06,1528243200,31.667,32.0,30.333,30.667,1605480
2018-06-07,1528329600,31.5,32.8,31.033,32.8,1376540
2018-06-08,1528416000,33.667,35.067,33.167,35.067,2008500
2018-06-11,1528675200,34.933,36.333,34.4,36.333,1229830
2018-06-12,1528761600,36.0,36.0,34.3,35.0,1139130
2018-06-13,1528848000,35.0,36.0,34.833,35.133,772670
2018-06-14,1528934400,35.5,35.5,34.5,35.0,617130
2018-06-15,1529020800,35.167,35.167,34.5,35.067,723460
2018-06-18,1529280000,34.7,35.0,32.667,33.333,825810
2018-06-19,1529366400,31.7,32.333,31.0,31.667,2092720
2018-06-20,1529452800,31.667,32.167,31.033,31.733,554870
2018-06-21,1529539200,31.8,31.8,31.1,31.733,497790
2018-06-22,1529625600,31.7,31.7,31.2,31.667,328710
2018-06-25,1529884800,32.0,32.333,31.9,31.967,918340
2018-06-26,1529971200,31.467,31.833,31.4,31.667,493790
2018-06-27,1530057600,31.167,31.667,31.167,31.2,394860
2018-06-28,1530144000,31.0,31.167,29.5,30.733,1319230
2018-06-29,1530230400,30.333,30.667,29.0,30.567,1583700
2018-07-02,1530489600,30.6,30.6,29.0,29.3,669570
2018-07-03,1530576000,29.167,29.433,27.267,27.267,2112230
2018-07-04,1530662400,26.833,27.0,25.367,27.0,1102650
2018-07-05,1530748800,28.85,28.85,27.0,28.15,1583450
2018-07-06,1530835200,28.0,29.0,27.0,28.8,1160990
2018-07-09,1531094400,29.0,29.2,27.85,28.5,631240
2018-07-10,1531180800,28.5,28.5,27.5,27.65,549100
2018-07-11,1531267200,27.1,27.1,25.75,25.75,1134570
2018-07-12,1531353600,25.1,26.0,25.1,26.0,686180
2018-07-13,1531440000,26.4,26.5,26.0,26.2,406500
2018-07-16,1531699200,26.0,26.2,25.75,26.2,430160
2018-07-17,1531785600,26.2,27.5,25.7,27.1,1174520
2018-07-18,1531872000,27.5,28.5,27.3,27.95,1139340
2018-07-19,1531958400,28.0,28.0,27.5,27.9,680430
2018-07-20,1532044800,27.5,27.9,27.2,27.9,1473990
2018-07-23,1532304000,27.3,27.85,26.6,26.6,878370
2018-07-24,1532390400,27.0,27.5,26.3,26.4,1019120
2018-07-25,1532476800,26.8,26.85,24.9,26.75,3348190
2018-07-26,1532563200,26.0,26.25,25.5,25.8,645430
2018-07-27,1532649600,25.8,26.2,25.6,25.95,1427670
2018-07-30,1532908800,25.95,26.2,25.9,26.1,1438740
2018-07-31,1532995200,26.15,27.9,26.0,27.8,4690660
2018-08-01,1533081600,27.9,28.65,27.15,27.55,2060620
2018-08-02,1533168000,27.3,28.5,27.0,28.5,3507500
2018-08-03,1533254400,28.6,28.9,28.0,28.35,2418140
2018-08-06,1533513600,28.0,28.3,27.8,28.0,1478320
2018-08-07,1533600000,27.75,28.2,27.4,27.95,1670400
2018-08-08,1533686400,28.15,28.15,27.4,27.75,1406450
2018-08-09,1533772800,27.9,28.3,27.4,27.4,2342630
2018-08-10,1533859200,27.4,27.7,26.4,27.2,2362660
2018-08-13,1534118400,27.0,27.65,26.8,27.45,1369550
2018-08-14,1534204800,27.5,27.5,27.0,27.2,850440
2018-08-15,1534291200,27.0,27.2,26.5,26.5,1030610
2018-08-16,1534377600,26.5,26.9,25.95,26.5,1576340
2018-08-17,1534464000,26.5,26.9,26.5,26.5,691890
2018-08-20,1534723200,26.7,26.7,25.9,26.5,847610
2018-08-21,1534809600,26.5,26.65,26.25,26.5,904270
2018-08-22,1534896000,26.7,27.4,26.55,26.65,1386850
2018-08-23,1534982400,27.0,27.15,26.65,26.75,1031560
2018-08-24,1535068800,26.75,26.95,26.5,26.6,817010
2018-08-27,1535328000,26.6,26.85,26.5,26.5,1480540
2018-08-28,1535414400,26.6,26.8,26.2,26.25,1630740
2018-08-29,1535500800,26.25,26.35,26.1,26.15,778240
2018-08-30,1535587200,26.15,26.3,26.05,26.3,887840
2018-08-31,1535673600,26.3,26.85,26.3,26.3,1723040
2018-09-04,1536019200,26.3,26.6,26.05,26.1,991610
2018-09-05,1536105600,26.1,26.25,25.75,25.8,1052150
2018-09-06,1536192000,25.8,25.9,24.8,24.8,2694080
2018-09-07,1536278400,25.0,25.3,24.9,25.25,2154200
2018-09-10,1536537600,25.4,25.5,25.0,25.5,1297720
2018-09-11,1536624000,25.45,25.5,25.3,25.4,780150
2018-09-12,1536710400,25.5,25.55,25.0,25.0,1460210
2018-09-13,1536796800,25.0,25.4,25.0,25.2,1105010
2018-09-14,1536883200,25.2,25.4,25.15,25.25,1343360
2018-09-17,1537142400,25.25,27.0,25.15,26.05,2714630
2018-09-18,1537228800,26.05,26.15,25.55,26.15,1059520
2018-09-19,1537315200,26.2,27.05,26.2,26.6,2934180
2018-09-20,1537401600,26.6,28.0,26.6,28.0,5779740
2018-09-21,1537488000,28.0,28.45,27.8,28.3,4008110
2018-09-24,1537747200,28.3,28.45,27.95,28.1,2213810
2018-09-25,1537833600,28.0,28.2,27.8,28.0,2261840
2018-09-26,1537920000,28.0,29.35,27.8,28.9,4516320
2018-09-27,1538006400,29.2,29.65,29.15,29.4,3663710
2018-09-28,1538092800,29.5,29.65,29.0,29.15,3943650
2018-10-01,1538352000,29.15,29.25,28.6,28.65,2816100
2018-10-02,1538438400,28.6,29.4,28.6,29.1,3139750
2018-10-03,1538524800,29.4,29.5,29.15,29.35,1405830
2018-10-04,1538611200,29.5,30.2,29.35,30.2,3273230
2018-10-05,1538697600,30.1,30.25,29.75,29.8,3156560
2018-10-08,1538956800,29.1,29.75,29.1,29.35,2101380
2018-10-09,1539043200,29.4,29.75,29.15,29.75,2656380
2018-10-10,1539129600,29.8,30.1,29.65,29.7,1689250
2018-10-11,1539216000,28.2,29.1,27.7,27.85,4366960
2018-10-12,1539302400,27.85,28.8,27.3,28.7,2298230
2018-10-15,1539561600,28.7,28.75,28.0,28.2,2085500
2018-10-16,1539648000,28.15,28.9,28.15,28.7,1363410
2018-10-17,1539734400,29.3,29.3,28.95,29.1,1972280
2018-10-18,1539820800,28.8,29.1,28.7,28.9,1487880
2018-10-19,1539907200,28.4,29.0,28.1,29.0,1454000
2018-10-22,1540166400,29.0,29.2,28.8,28.8,2026290
2018-10-23,1540252800,28.8,28.8,26.8,27.8,2307530
2018-10-24,1540339200,27.9,28.0,26.5,26.5,1535430
2018-10-25,1540425600,25.2,26.3,25.1,26.1,2454470
2018-10-26,1540512000,26.9,26.9,25.5,25.85,1747390
2018-10-29,1540771200,25.8,26.0,25.5,25.7,1473740
2018-10-30,1540857600,25.7,26.1,25.6,25.8,1327540
2018-10-31,1540944000,26.1,26.9,26.1,26.9,1230140
2018-11-01,1541030400,26.95,26.95,26.1,26.1,802870
2018-11-02,1541116800,26.6,26.95,26.2,26.6,1048790
2018-11-05,1541376000,26.7,26.95,26.5,26.85,920120
2018-11-06,1541462400,27.4,27.4,26.75,26.95,1174180
2018-11-07,1541548800,26.7,27.2,26.7,27.0,1180500
2018-11-08,1541635200,27.5,27.5,26.95,27.0,710570
