date,timestamp,open,high,low,close,volume
2010-06-02,1275436800,9.185,9.185,9.185,9.185,61040
2010-06-03,1275523200,8.76,9.618,8.76,9.618,1312280
2010-06-04,1275609600,9.618,9.618,9.185,9.334,136280
2010-06-07,1275868800,8.863,8.939,8.863,8.863,108550
2010-06-08,1275955200,8.437,8.505,8.437,8.469,123920
2010-06-09,1276041600,8.469,8.469,8.073,8.073,268310
2010-06-10,1276128000,7.715,8.005,7.715,7.715,235910
2010-06-11,1276214400,8.073,8.073,7.893,8.073,294660
2010-06-14,1276473600,8.469,8.469,8.437,8.437,455630
2010-06-15,1276560000,8.326,8.363,8.073,8.252,203160
2010-06-16,1276646400,8.399,8.437,8.221,8.221,177150
2010-06-17,1276732800,8.185,8.221,8.042,8.147,187510
2010-06-18,1276819200,8.073,8.073,8.073,8.073,201580
2010-06-21,1277078400,8.252,8.252,8.005,8.005,104610
2010-06-22,1277164800,7.929,8.073,7.826,7.826,193210
2010-06-23,1277251200,7.826,8.185,7.826,8.185,515940
2010-06-24,1277337600,8.542,8.542,8.185,8.252,348690
2010-06-25,1277424000,7.893,8.147,7.893,7.929,123090
2010-06-28,1277683200,8.29,8.29,8.005,8.185,308930
2010-06-29,1277769600,8.221,8.221,7.929,7.929,237760
2010-06-30,1277856000,7.715,7.751,7.573,7.646,211810
2010-07-01,1277942400,7.646,7.751,7.504,7.646,97740
2010-07-02,1278028800,7.646,7.893,7.61,7.893,175660
2010-07-05,1278288000,7.893,7.929,7.863,7.863,117370
2010-07-06,1278374400,7.863,7.863,7.536,7.684,107120
2010-07-07,1278460800,7.684,7.826,7.61,7.646,130130
2010-07-08,1278547200,7.646,7.751,7.325,7.325,224990
2010-07-09,1278633600,7.325,7.536,7.287,7.356,261090
2010-07-12,1278892800,7.573,7.573,7.393,7.466,131650
2010-07-13,1278979200,7.684,7.826,7.573,7.826,247540
2010-07-14,1279065600,8.147,8.147,7.751,7.863,220270
2010-07-15,1279152000,7.788,7.826,7.684,7.751,134110
2010-07-16,1279238400,7.715,7.751,7.536,7.536,145680
2010-07-19,1279497600,7.429,7.536,7.429,7.429,87720
2010-07-20,1279584000,7.393,7.61,7.393,7.61,229000
2010-07-21,1279670400,7.61,7.684,7.504,7.504,223700
2010-07-22,1279756800,7.356,7.684,7.356,7.466,244850
2010-07-23,1279843200,7.466,7.646,7.466,7.646,513510
2010-07-26,1280102400,7.715,8.005,7.715,7.863,479780
2010-07-27,1280188800,7.826,7.929,7.788,7.826,260490
2010-07-28,1280275200,7.788,7.968,7.788,7.893,609070
